source,target,avg_finished_duration,avg_finished_path_length,avg_rating,failure_rate,avg_unfinished_duration,avg_unfinished_path_length,difficulty_score,shortest_path_length,semantic_distance
AIDS,Germany,44.0,3.0,1.0,0.0,,,0.03,1.0,0.45
AIDS,Religion,49.0,4.0,1.0,0.0,,,0.04,2.0,0.4
AIDS,Jesus,88.18,5.41,2.4,0.11,79.0,2.0,0.09,3.0,0.4
AIDS,Cold_War,96.67,4.67,1.5,0.0,,,0.06,2.0,0.43
AIDS,Saxophone,58.0,4.0,3.0,0.0,,,0.05,2.0,0.42
AIDS,Maldives,144.0,6.0,3.0,0.0,,,0.08,2.0,0.44
AIDS,Gulf_of_Mexico,47.0,3.0,1.0,0.0,,,0.03,2.0,0.47
AIDS,Steel,53.0,4.0,,0.0,,,0.04,2.0,0.46
AIDS,Paris,40.0,4.0,,0.0,,,0.04,2.0,0.42
AIDS,Napoleon_I_of_France,68.0,6.5,,0.0,,,0.07,2.0,0.47
AIDS,Adolf_Hitler,20.5,3.5,1.0,0.0,,,0.03,2.0,0.48
AIDS,Tour_de_France,202.75,6.88,2.0,0.47,255.57,7.43,0.2,2.0,0.45
AIDS,Ethics,21.0,3.0,,0.0,,,0.03,2.0,0.4
AIDS,Cod,156.0,7.0,2.0,0.0,,,0.09,3.0,0.47
AIDS,Soup,42.0,4.0,2.0,0.0,,,0.04,3.0,0.44
AIDS,Paprika,218.0,7.33,2.0,0.4,79.5,3.5,0.19,3.0,0.47
AIDS,Flamingo,73.2,6.4,2.67,0.5,133.2,6.6,0.17,3.0,0.42
AIDS,Tony_Blair,169.0,6.5,2.0,0.0,,,0.09,2.0,0.52
AIDS,Palestinian_territories,67.0,4.0,1.0,0.0,,,0.05,2.0,0.48
AIDS,Varanasi,167.0,5.0,2.0,0.0,,,0.08,3.0,0.44
AIDS,Wildebeest,30.0,4.0,1.0,0.0,,,0.04,3.0,0.41
Aircraft,Bangladesh,65.0,3.0,,0.0,,,0.04,2.0,0.45
Aircraft,Moon,50.0,4.0,1.0,0.0,,,0.04,2.0,0.43
Aircraft,Joseph_Stalin,23.0,3.0,1.0,0.0,,,0.03,2.0,0.48
Aircraft,Western_Roman_Empire,78.2,6.0,2.0,0.0,,,0.07,3.0,0.47
Aircraft,Solar_eclipse,69.55,4.73,2.0,0.21,58.67,2.67,0.1,2.0,0.45
Aircraft,United_States_Constitution,45.0,6.0,,0.0,,,0.06,2.0,0.44
Aircraft,Google,203.09,9.34,3.85,0.33,249.24,7.18,0.19,3.0,0.45
Aircraft,Euclid,270.0,7.33,2.5,0.5,131.67,4.67,0.22,3.0,0.42
Aircraft,Adolf_Hitler,15.0,3.0,1.0,0.0,,,0.03,2.0,0.5
Aircraft,Parliament_of_the_United_Kingdom,32.5,3.5,2.0,0.0,,,0.04,2.0,0.45
Aircraft,Yugoslavia,123.17,5.42,2.0,0.0,,,0.07,2.0,0.43
Aircraft,Chola_dynasty,107.0,6.0,,0.0,,,0.07,3.0,0.47
Aircraft,Heraclius,217.0,5.0,2.0,0.5,213.0,3.0,0.19,3.0,0.52
Aircraft,"Constitution_of_May_3,_1791",181.0,5.0,2.0,0.0,,,0.08,3.0,0.48
Algorithm,Bird,115.0,6.0,2.0,0.67,119.5,4.0,0.21,2.0,0.4
Algorithm,Film,100.0,4.0,1.0,0.0,,,0.05,2.0,0.4
Algorithm,Life,89.0,4.0,,0.0,,,0.05,2.0,0.39
Algorithm,Spanish_Armada,238.0,7.0,4.0,0.0,,,0.11,3.0,0.52
Algorithm,Prague,56.0,7.0,2.0,0.0,,,0.07,3.0,0.44
Algorithm,Argon,50.0,7.0,,0.5,98.0,2.0,0.17,3.0,0.43
Algorithm,Pali_Canon,75.0,5.0,,0.0,,,0.06,4.0,0.44
Allegory_in_the_Middle_Ages,England,22.0,3.0,1.0,0.0,,,0.03,2.0,0.49
Allegory_in_the_Middle_Ages,Radar,111.0,6.0,3.0,0.0,,,0.07,4.0,0.49
Allegory_in_the_Middle_Ages,Anarchism,50.0,5.0,,0.0,,,0.05,3.0,0.48
Allegory_in_the_Middle_Ages,Boron,141.0,7.0,2.0,0.0,,,0.09,4.0,0.48
Aluminium,Brothers_Grimm,200.0,4.0,3.0,0.0,,,0.08,3.0,0.46
Aluminium,Magma,90.5,6.0,3.0,0.0,,,0.07,2.0,0.35
Aluminium,Apollo_8,55.0,3.0,1.0,0.0,,,0.04,2.0,0.47
Aluminium,Hinduism,166.0,4.0,,0.0,,,0.07,2.0,0.43
Aluminium,Carrot,313.0,10.0,,0.0,,,0.15,3.0,0.41
Aluminium,Women's_rights,240.0,6.0,,0.67,459.0,13.5,0.24,3.0,0.44
Aluminium_chloride,Parrot,163.79,9.05,2.79,0.16,163.62,7.12,0.14,3.0,0.46
Aluminium_chloride,Stroke,102.0,4.5,2.0,0.33,38.0,2.0,0.13,3.0,0.44
Aluminium_chloride,Money,26.0,4.0,1.0,0.0,,,0.04,2.0,0.43
Aluminium_chloride,Onion,150.0,9.0,,0.5,40.0,2.0,0.21,3.0,0.43
Aluminium_chloride,United_States_Virgin_Islands,403.0,5.0,2.0,0.0,,,0.13,3.0,0.29
Aluminium_chloride,Ku_Klux_Klan,174.5,7.0,1.0,0.33,246.0,9.0,0.16,4.0,0.29
Aluminium_chloride,Neptunium,60.0,4.0,,0.0,,,0.05,3.0,0.46
American_Civil_War,Jesus,21.0,2.0,1.0,0.0,,,0.02,1.0,0.4
American_Civil_War,Great_Britain,268.0,6.0,,0.0,,,0.11,3.0,0.29
American_Civil_War,Poland,47.0,4.0,,0.0,,,0.04,2.0,0.43
American_Civil_War,Herbivore,235.83,13.33,2.5,0.4,137.25,5.25,0.24,2.0,0.51
American_Civil_War,Battle_of_Leyte_Gulf,42.0,4.0,2.0,0.0,,,0.04,3.0,0.32
American_Civil_War,Kuwait_City,112.5,6.3,2.5,0.0,,,0.08,3.0,0.31
American_Civil_War,Nottingham,107.25,5.25,2.0,0.0,,,0.07,2.0,0.41
American_Civil_War,Nouakchott,80.0,4.0,,0.0,,,0.05,3.0,0.39
Anaconda,Japan,958.0,4.0,1.0,0.0,,,0.25,2.0,0.47
Anaconda,Sudan,36.0,4.0,,0.0,,,0.04,3.0,0.4
Anaconda,Allosaurus,101.5,7.5,,0.0,,,0.08,3.0,0.38
